ESTU_TIPODOCUMENTO;ESTU_NACIONALIDAD;ESTU_GENERO;ESTU_FECHANACIMIENTO;PERIODO;ESTU_CONSECUTIVO;ESTU_ESTUDIANTE;ESTU_TIENEETNIA;ESTU_PAIS_RESIDE;ESTU_ETNIA;ESTU_DEPTO_RESIDE;ESTU_COD_RESIDE_DEPTO;ESTU_MCPIO_RESIDE;ESTU_COD_RESIDE_MCPIO;FAMI_ESTRATOVIVIENDA;FAMI_PERSONASHOGAR;FAMI_CUARTOSHOGAR;FAMI_EDUCACIONPADRE;FAMI_EDUCACIONMADRE;FAMI_TRABAJOLABORPADRE;FAMI_TRABAJOLABORMADRE;FAMI_TIENEINTERNET;FAMI_TIENESERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENELAVADORA;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENEAUTOMOVIL;FAMI_TIENEMOTOCICLETA;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_COMELECHEDERIVADOS;FAMI_COMECARNEPESCADOHUEVO;FAMI_COMECEREALFRUTOSLEGUMBRE;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONLECTURADIARIA;ESTU_DEDICACIONINTERNET;ESTU_HORASSEMANATRABAJA;ESTU_TIPOREMUNERACION;COLE_CODIGO_ICFES;COLE_COD_DANE_ESTABLECIMIENTO;COLE_NOMBRE_ESTABLECIMIENTO;COLE_GENERO;COLE_NATURALEZA;COLE_CALENDARIO;COLE_BILINGUE;COLE_CARACTER;COLE_COD_DANE_SEDE;COLE_NOMBRE_SEDE;COLE_SEDE_PRINCIPAL;COLE_AREA_UBICACION;COLE_JORNADA;COLE_COD_MCPIO_UBICACION;COLE_MCPIO_UBICACION;COLE_COD_DEPTO_UBICACION;COLE_DEPTO_UBICACION;ESTU_PRIVADO_LIBERTAD;ESTU_COD_MCPIO_PRESENTACION;ESTU_MCPIO_PRESENTACION;ESTU_DEPTO_PRESENTACION;ESTU_COD_DEPTO_PRESENTACION;PUNT_LECTURA_CRITICA;PERCENTIL_LECTURA_CRITICA;DESEMP_LECTURA_CRITICA;PUNT_MATEMATICAS;PERCENTIL_MATEMATICAS;DESEMP_MATEMATICAS;PUNT_C_NATURALES;PERCENTIL_C_NATURALES;DESEMP_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PERCENTIL_SOCIALES_CIUDADANAS;DESEMP_SOCIALES_CIUDADANAS;PUNT_INGLES;PERCENTIL_INGLES;DESEMP_INGLES;PUNT_GLOBAL;PERCENTIL_GLOBAL;ESTU_INSE_INDIVIDUAL;ESTU_NSE_INDIVIDUAL;ESTU_NSE_ESTABLECIMIENTO;ESTU_ESTADOINVESTIGACION;ESTU_GENERACION-E
TI;COLOMBIA;M;02/18/2002 12:00:00 AM;20194;SB11201940031558;ESTUDIANTE;No;COLOMBIA;-;MAGDALENA;47;SANTA ANA;47707;Estrato 3;5 a 6;Cinco;Educación profesional completa;Secundaria (Bachillerato) completa;No aplica;Trabaja en el hogar, no trabaja o estudia;Si;Si;No;Si;Si;No;No;No;MÁS DE 100 LIBROS;1 o 2 veces por semana;3 a 5 veces por semana;Nunca o rara vez comemos eso;Peor;Entre 30 y 60 minutos;Entre 30 y 60 minutos;Menos de 10 horas;Si, en efectivo;39008;1,48E+11;INSTITUCION EDUCATIVA DEPARTAMENTAL ANTONIO BRUJES CARMONA;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,48E+11;COL DPTAL ANTONIO BRUGES CARMONA;S;URBANO;MAÑANA;47707;SANTA ANA;47;MAGDALENA;N;47707;SANTA ANA;MAGDALENA;47;47;33;2;48;42;2;37;15;1;30;8;1;54;67;A1;208;25;509.421.557.404.314;2;2;PUBLICAR;NO
TI;COLOMBIA;M;6/02/2001 0:00;20194;SB11201940255017;ESTUDIANTE;No;COLOMBIA;-;BOLIVAR;13;CARTAGENA DE INDIAS;13001;Estrato 1;5 a 6;Dos;Secundaria (Bachillerato) completa;Secundaria (Bachillerato) completa;Es vendedor o trabaja en atención al público;Es vendedor o trabaja en atención al público;No;Si;No;Si;No;No;No;No;26 A 100 LIBROS;Todos o casi todos los días;Todos o casi todos los días;3 a 5 veces por semana;Igual;Entre 30 y 60 minutos;Más de 3 horas;0;Si, en efectivo;35493;1,13001E+11;INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.;MIXTO;OFICIAL;A;N;TÉCNICO/ACADÉMICO;1,13001E+11;INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.;S;URBANO;MAÑANA;13001;CARTAGENA DE INDIAS;13;BOLIVAR;N;13001;CARTAGENA DE INDIAS;BOLIVAR;13;66;91;4;57;70;3;41;29;2;74;99;4;64;89;A2;299;84;507.642.383.644.749;2;3;PUBLICAR;GENERACION E - GRATUIDAD
